No.,Ticker,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Change from Open,Gap,Volume
159,CERN,0.97,1.48,0.60%,2.09%,-8.66%,-19.13%,14.76%,52.43,59.73,0.08%,-0.63%,0.72%,1856815
160,CF,1.1,1.09,0.26%,3.60%,6.48%,-10.07%,57.78%,52.1,40.47,-1.63%,-2.36%,0.75%,2212012
161,CFG,1.37,1,0.07%,-0.67%,2.32%,-13.68%,32.12%,49.73,41.63,1.91%,0.41%,1.49%,4154919
162,CFX,1.23,0.82,-3.87%,-2.94%,-16.17%,-28.92%,6.01%,42.15,30.77,0.62%,0.16%,0.46%,764354
163,CGNX,1.56,1.46,-1.38%,-5.14%,-19.18%,-36.50%,16.17%,45.11,46.35,1.40%,0.46%,0.94%,973823
164,CHD,0.41,0.86,0.37%,-1.03%,-1.88%,-12.66%,9.51%,48.75,47.32,0.79%,0.47%,0.32%,1921763
165,CHGG,1.46,0.83,9.48%,20.76%,55.59%,-0.18%,143.71%,78.28,28.1,0.46%,-0.18%,0.64%,1464071
166,CHKP,0.64,1.84,1.37%,-0.30%,-5.88%,-16.91%,5.63%,55.37,99.04,1.73%,2.03%,-0.30%,1492153
167,CHRS,3.48,0.86,0.11%,17.18%,31.97%,-32.87%,93.79%,60.03,15.6,0.00%,-0.95%,0.96%,1017461
168,CHRW,0.43,1.85,1.47%,-2.96%,3.10%,-12.64%,38.02%,47.53,87.52,0.60%,-0.11%,0.71%,1113866
169,CHS,0.73,0.5,-14.59%,-13.70%,-5.55%,-22.75%,20.98%,33.75,8.42,-0.47%,-0.94%,0.47%,5115631
170,CIEN,1.33,0.7,-7.47%,-8.68%,1.46%,-16.33%,20.67%,31.28,23.41,1.56%,0.91%,0.65%,7467519
171,CINF,0.87,1.3,-0.50%,-2.89%,-5.41%,-13.82%,2.78%,45.58,70.18,1.17%,0.30%,0.86%,570376
172,CIT,1.25,1.06,-5.52%,-4.40%,0.23%,-10.38%,16.32%,32.81,50.31,0.76%,-0.71%,1.48%,2474884
173,CJ,,1.13,-11.79%,-8.23%,-9.79%,-29.04%,13.53%,35.12,26.1,-3.05%,-3.58%,0.56%,1565094
174,CL,0.75,1.02,-0.03%,-5.96%,-11.75%,-19.54%,2.30%,39.55,62.69,-0.63%,-0.89%,0.25%,3669398
175,CLR,1.28,2.07,1.72%,7.05%,36.42%,-2.49%,134.42%,58.66,68.17,1.23%,0.07%,1.16%,2608044
176,CLSD,,1.06,-22.30%,-16.96%,14.63%,-36.40%,83.96%,33.33,9.75,-1.12%,-3.85%,2.84%,1035479
177,CMA,1.37,2,-1.34%,-0.40%,10.41%,-6.73%,49.52%,46.33,95.75,1.55%,0.05%,1.50%,1323357
178,CMC,1.36,0.7,4.66%,11.28%,12.85%,-9.81%,41.35%,67.69,24.1,1.95%,-0.12%,2.07%,803295
179,CMCM,3.44,0.68,-2.54%,-2.65%,3.88%,-32.34%,63.13%,44.5,12.3,-6.32%,-6.39%,0.08%,1983473
180,CMCSA,1.2,0.72,-1.74%,-4.51%,-15.86%,-28.95%,2.73%,40.58,31.26,0.26%,-0.26%,0.51%,18275856
181,CMS,0.07,0.64,-0.02%,-0.07%,-2.41%,-11.17%,11.59%,48.19,45.17,-2.08%,-2.04%,-0.04%,2489816
182,CNI,1.06,1.48,2.32%,7.88%,5.51%,-2.62%,18.26%,63.23,83.48,0.00%,0.01%,-0.01%,950474
183,CNK,0.96,0.8,-6.43%,-10.59%,-7.62%,-23.21%,5.49%,23.19,33.79,0.06%,-0.27%,0.33%,851691
184,CNQ,1.34,0.9,-3.99%,-0.34%,2.28%,-9.79%,25.22%,43.8,34.46,-0.29%,-0.58%,0.29%,3078619
185,CNX,1.26,0.51,4.06%,6.46%,15.39%,-8.49%,46.44%,62.33,16.55,2.41%,1.66%,0.74%,3478248
186,COF,1.31,2.04,1.46%,0.41%,2.17%,-11.01%,23.38%,52.53,94.77,0.82%,-0.18%,1.00%,1749903
187,COG,0.38,0.62,0.28%,-1.45%,-10.60%,-22.12%,7.62%,49.73,23.03,0.79%,0.44%,0.35%,4053361
188,COLD,,0.64,-0.33%,5.64%,11.26%,-9.30%,32.36%,53.62,21.35,3.64%,1.67%,1.94%,1360813
189,COMM,0.97,0.97,1.53%,-15.30%,-16.67%,-28.39%,13.31%,38.26,29.79,1.60%,1.12%,0.48%,1056489
