No.,Ticker,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Change from Open,Gap,Volume
394,HEAR,0.64,1.87,34.74%,143.48%,407.89%,-7.47%,1048.78%,74.76,18.84,8.28%,4.38%,3.74%,2890826
395,HEDJ,,0.59,-0.70%,1.97%,2.53%,-2.51%,9.39%,52.26,65.92,1.01%,-0.02%,1.03%,804840
396,HES,1.47,1.86,-0.29%,7.89%,27.30%,-6.21%,65.91%,56.13,61.8,2.28%,1.86%,0.41%,3788891
397,HFC,1.14,2.71,15.06%,33.38%,74.99%,1.82%,245.68%,79.16,81.65,5.79%,4.47%,1.27%,4856758
398,HGV,,0.85,1.45%,-3.45%,-1.73%,-15.33%,25.56%,48.68,40.43,1.69%,1.28%,0.40%,1313911
399,HIBB,0.8,1.4,-5.36%,-1.91%,27.71%,-11.86%,176.60%,44.33,26,-1.70%,-2.07%,0.38%,716101
400,HIG,0.92,0.97,-0.64%,0.40%,-3.70%,-11.33%,7.12%,48.23,52.49,0.31%,-0.78%,1.09%,1764703
401,HIW,0.79,0.81,5.48%,9.38%,0.55%,-9.22%,17.13%,73.84,48.42,1.23%,0.04%,1.19%,1107348
402,HLF,1.13,1.39,-5.55%,-1.97%,24.29%,-10.65%,67.02%,42.02,50.7,-0.14%,-0.26%,0.12%,1693148
403,HLT,1.31,1.54,0.37%,2.35%,7.94%,-6.20%,36.52%,54.65,82.65,2.40%,1.92%,0.47%,2495183
404,HOG,0.88,0.88,-1.97%,-2.62%,-12.97%,-28.57%,3.41%,38.97,40.68,-0.97%,-1.33%,0.37%,2578931
405,HOLX,0.86,0.84,-0.35%,0.15%,-3.11%,-18.59%,8.55%,47.95,38.1,0.55%,-0.13%,0.69%,2987148
406,HOME,,1.24,-2.92%,1.28%,22.88%,-7.82%,89.51%,47.2,34.87,0.75%,0.43%,0.32%,715312
407,HP,1.31,1.98,-6.65%,-6.41%,6.49%,-13.40%,54.10%,36.07,64.97,-2.12%,-2.68%,0.57%,2204313
408,HPP,0.72,0.58,3.83%,8.33%,7.94%,-1.52%,25.98%,71.57,35.59,0.54%,0.37%,0.17%,943459
409,HQY,1.41,1.86,4.58%,12.41%,40.28%,-2.57%,89.23%,65.83,76.09,2.40%,2.44%,-0.04%,863308
410,HRB,0.29,0.57,0.61%,3.88%,4.94%,-12.30%,18.21%,55.27,27.89,1.60%,1.01%,0.58%,1298519
411,HRG,1.53,0.62,6.98%,-5.41%,-17.06%,-34.45%,37.58%,51.92,12.96,2.21%,1.49%,0.71%,1504063
412,HRL,0.43,0.72,-0.58%,1.18%,5.64%,-5.82%,20.30%,47.49,35.79,-0.28%,-0.67%,0.39%,2327898
413,HRTX,1.85,1.42,7.22%,12.17%,59.46%,-0.44%,166.54%,64.25,33.85,3.83%,3.20%,0.61%,720275
414,HSBC,0.91,0.61,-1.47%,-0.53%,-2.21%,-12.74%,12.79%,45.86,48.77,0.81%,-0.14%,0.95%,1294240
415,HSC,2.67,0.88,8.37%,14.38%,28.54%,1.00%,72.35%,67.22,25.25,3.06%,2.02%,1.02%,616188
416,HSIC,1,1.68,-3.60%,-1.74%,-6.14%,-25.63%,11.14%,41.29,69.53,0.48%,-0.33%,0.81%,1046197
417,HSY,0.33,1.48,-2.11%,-4.54%,-13.47%,-22.42%,1.02%,32.71,90.01,-0.03%,-0.12%,0.09%,1183520
418,HTHT,1.71,1.57,11.78%,26.13%,34.92%,0.58%,143.35%,75.58,45.36,3.07%,1.93%,1.11%,2027196
419,HTZ,1.83,0.95,-14.09%,-23.15%,-28.93%,-45.10%,75.70%,31,14.97,-0.80%,-1.25%,0.46%,3538290
420,HUN,2.74,0.81,1.80%,5.60%,4.92%,-10.92%,39.06%,58.58,32.15,0.56%,-0.50%,1.06%,1869035
421,HUYA,,2.54,37.86%,37.86%,37.86%,6.87%,90.62%,,29.07,14.22%,11.81%,2.16%,4231045
422,HZNP,1.34,0.54,10.78%,16.11%,17.63%,0.79%,66.30%,74.46,16.63,2.02%,1.84%,0.18%,2041535
423,I,0.98,1.43,19.07%,70.30%,204.54%,-11.05%,596.03%,70.36,16.99,-4.82%,-0.53%,-4.31%,6066116
424,IART,0.65,1.47,0.01%,7.48%,21.51%,-1.96%,54.28%,59.6,64.04,-0.77%,-1.48%,0.71%,959899
425,IBKR,0.94,1.88,-6.42%,-1.46%,19.91%,-9.94%,108.11%,37.05,72.34,-0.60%,-1.58%,0.99%,841473
426,ICE,0.63,1.25,1.18%,0.09%,2.61%,-5.49%,19.96%,52.82,72.11,1.72%,0.68%,1.03%,2408270
427,ICHR,,1.24,4.99%,7.89%,0.30%,-26.08%,47.80%,59.76,26.25,5.51%,3.88%,1.57%,1348469
428,ICPT,-1.74,2.87,4.98%,8.01%,7.20%,-45.20%,45.54%,60.4,74.3,5.83%,5.45%,0.36%,1115078
429,IDTI,1.85,0.86,7.42%,9.67%,13.75%,-0.97%,46.60%,67.85,33.82,1.74%,0.74%,0.99%,2416705
430,IEFA,,0.6,-1.29%,-0.65%,0.44%,-6.75%,9.59%,45.54,66.06,0.66%,0.03%,0.62%,9835980
431,IEMG,,0.75,-0.20%,-1.52%,-1.08%,-10.46%,13.57%,47.79,56.14,1.10%,0.39%,0.70%,11744741
432,IEV,,0.5,-1.84%,-1.29%,-0.90%,-8.05%,6.21%,43.76,46.72,0.82%,-0.04%,0.86%,613607
433,IGT,,0.98,-9.97%,-7.60%,-2.30%,-18.03%,46.71%,35.76,25.41,1.07%,0.55%,0.52%,4090816
434,IIVI,0.16,1.48,2.87%,7.02%,7.42%,-13.42%,52.40%,60.19,45.95,4.55%,4.20%,0.34%,853619
435,IJR,,0.93,2.36%,5.10%,9.54%,-0.61%,24.93%,67.43,83.41,0.69%,0.00%,0.69%,3803493
436,ILF,,0.74,-7.36%,-12.09%,-11.43%,-20.36%,7.77%,27.86,31.49,0.32%,-0.76%,1.08%,4854688
437,ILG,1.46,0.63,1.81%,5.02%,14.93%,-1.34%,41.63%,62.71,34.53,0.85%,2.49%,-1.61%,970396
438,IMAX,0.81,0.73,-8.28%,-5.14%,-4.68%,-21.87%,18.92%,33.74,20.9,0.00%,-0.24%,0.24%,641601
439,IMGN,2.14,0.57,9.71%,8.38%,38.01%,-14.02%,170.66%,62.62,11.53,0.61%,-0.52%,1.13%,3072278
440,IMMR,1.22,0.52,17.03%,24.67%,64.02%,-1.56%,162.50%,78.3,15.12,-0.33%,-0.72%,0.40%,528250
441,IMMU,1.49,0.99,12.34%,28.61%,57.21%,-2.03%,216.74%,72.21,22.71,2.95%,1.98%,0.95%,2200961
442,INCY,0.73,1.87,2.86%,-3.04%,-28.67%,-51.53%,12.76%,47.53,67.91,-0.53%,-0.90%,0.38%,2119118
443,INFO,0.78,0.77,-1.96%,0.57%,6.46%,-5.49%,17.26%,45.52,49.72,0.89%,0.51%,0.39%,1827006
444,INSM,0.99,1.27,5.36%,15.16%,8.19%,-16.00%,148.13%,64.82,28.51,2.33%,1.60%,0.72%,628305
445,INT,0.91,0.86,-3.30%,-10.36%,-24.30%,-46.91%,3.50%,40.27,21.32,2.11%,1.38%,0.72%,782642
446,INTC,0.95,1.31,4.91%,8.52%,25.34%,1.57%,71.77%,66.75,57.08,3.41%,2.22%,1.16%,31139795
447,IONS,2.47,1.99,5.27%,3.99%,-8.52%,-28.85%,19.30%,57.86,46.61,-0.09%,-0.89%,0.81%,911363
448,IOVA,5.47,0.8,-6.79%,-5.90%,26.62%,-26.88%,226.97%,40.43,14.55,-0.34%,-1.69%,1.37%,653652
449,IP,1.53,1.24,2.87%,4.20%,-1.86%,-17.48%,10.48%,58.5,55.24,3.25%,0.29%,2.95%,3479330
450,IQ,,1.59,37.10%,49.19%,49.19%,7.60%,86.01%,81.71,28.46,12.49%,10.31%,1.98%,21638272
451,IR,1.36,1.72,-0.78%,2.16%,0.19%,-9.62%,10.85%,50.11,88.27,0.83%,-0.17%,1.01%,994676
452,IRBT,1.09,1.77,2.43%,0.93%,-13.68%,-41.95%,14.27%,53.17,63.73,2.12%,1.45%,0.66%,619716
453,IRDM,1.86,0.63,28.71%,31.72%,37.46%,4.25%,64.86%,86.88,15.95,4.93%,3.91%,0.99%,8319780
454,IRM,0.85,0.62,2.18%,2.18%,-6.75%,-18.25%,10.30%,58.78,33.95,1.98%,1.80%,0.18%,1245736
455,IRWD,1.09,0.78,2.38%,7.70%,16.73%,-7.87%,42.51%,57.87,18.37,-1.13%,-1.29%,0.16%,966147
456,ITB,,0.75,0.24%,-0.92%,-2.27%,-17.01%,19.55%,48.43,38.64,0.42%,-0.13%,0.55%,830382
457,ITOT,,0.64,1.26%,2.79%,4.37%,-3.65%,14.62%,59.88,63.01,1.06%,0.41%,0.64%,846646
458,ITT,1.56,1.24,0.47%,3.81%,6.62%,-7.90%,40.92%,54.67,53.07,2.81%,1.80%,0.99%,763713
459,IVZ,1.66,0.62,-1.75%,-6.94%,-17.77%,-27.87%,2.93%,37.67,27.72,1.46%,0.07%,1.39%,2580045
460,IYE,,0.75,0.09%,5.13%,9.89%,-3.93%,24.72%,56.59,42.03,0.36%,-0.10%,0.45%,523874
461,IYR,,0.86,2.12%,3.72%,0.16%,-5.78%,10.10%,65.26,78.46,0.35%,0.36%,-0.01%,9777839
462,JACK,0.4,2.15,-6.33%,-7.26%,-14.39%,-27.03%,1.50%,36.05,80.42,-0.31%,-0.77%,0.46%,527764
463,JAG,,0.57,-14.64%,-16.44%,-17.04%,-31.90%,0.18%,28.41,11.27,-6.47%,-5.69%,-0.83%,5170486
464,JCI,0.85,0.8,-5.22%,-3.34%,-10.93%,-23.98%,2.55%,38.33,33.73,0.51%,-0.12%,0.63%,4280766
465,JD,1.59,0.99,-1.57%,-5.60%,-12.55%,-28.79%,3.83%,44.32,36.09,2.59%,1.46%,1.11%,12403967
466,JDST,,2.19,3.35%,0.18%,-8.68%,-40.19%,23.22%,50.63,50.4,-0.34%,-0.51%,0.18%,793938
467,JEC,1.48,1.24,4.58%,8.46%,7.04%,-9.38%,32.65%,69.56,65.41,0.94%,0.18%,0.76%,1027048
468,JELD,,0.94,-4.57%,-7.73%,-20.85%,-35.84%,3.04%,38.03,27.12,-0.91%,-1.81%,0.91%,766184
469,JHG,,0.69,-4.17%,-3.78%,-11.55%,-25.34%,1.50%,39.52,31.09,0.65%,0.29%,0.36%,717165
470,JNCE,,1.29,-23.45%,-39.07%,-36.44%,-61.61%,10.04%,33.98,11.23,-0.18%,-0.18%,0.00%,777594
471,JNUG,,0.63,-4.22%,-3.33%,-13.53%,-45.81%,23.10%,47.2,13.96,0.58%,1.16%,-0.58%,7605019
472,JWN,0.79,1.43,1.96%,2.34%,6.08%,-8.17%,31.22%,53.92,49.59,1.14%,1.04%,0.10%,1329704
473,K,0.51,1.38,3.33%,2.61%,-1.88%,-14.07%,13.17%,55.65,63.83,-0.87%,-1.04%,0.17%,2395948
474,KAR,1.1,0.84,-0.59%,-0.66%,4.91%,-6.41%,31.88%,47.41,53.11,0.64%,0.32%,0.32%,1221439
475,KBE,,0.82,-0.21%,1.73%,4.88%,-5.08%,24.63%,51.13,49.36,1.27%,-0.24%,1.52%,1882570
476,KBH,1.42,0.81,-0.28%,-3.60%,-5.61%,-31.96%,27.66%,45.87,26.4,0.23%,-0.68%,0.91%,1139616
477,KBR,1.12,0.55,6.92%,9.34%,3.06%,-15.00%,36.69%,65.72,18.44,0.11%,-0.86%,0.98%,925328
478,KBWB,,0.96,-1.21%,0.06%,2.44%,-7.93%,21.64%,47.46,55.59,1.46%,0.16%,1.30%,2262461
479,KEM,3.75,0.74,6.32%,10.61%,8.17%,-24.68%,75.62%,63.81,20.6,3.10%,2.64%,0.45%,1581928
480,KEYS,1.08,1.45,11.81%,12.96%,29.23%,-4.17%,67.91%,82.11,59.81,1.82%,0.66%,1.16%,3214233
481,KHC,,1.31,-0.46%,-2.28%,-20.66%,-38.59%,6.54%,47.2,57.65,0.30%,0.02%,0.28%,4745053
482,KKR,1.59,0.57,0.46%,5.19%,7.88%,-8.27%,25.11%,57.26,22.47,1.08%,0.54%,0.54%,1446459
483,KL,,0.63,-0.89%,8.29%,26.06%,-5.19%,152.88%,56.51,18.8,2.34%,2.56%,-0.22%,502568
484,KLIC,1.22,0.75,4.22%,-0.95%,2.50%,-17.35%,30.24%,55.48,23.73,-1.45%,-1.94%,0.50%,1201178
485,KMT,2.02,1.14,-4.39%,-5.18%,-11.97%,-29.00%,15.70%,40.04,37.29,0.16%,-0.67%,0.83%,963712
486,KMX,1.56,1.47,6.44%,10.72%,3.83%,-9.98%,22.51%,69.98,69.89,1.41%,0.60%,0.80%,1473321
487,KNX,1.69,1.14,3.82%,-1.71%,-2.81%,-19.85%,26.31%,53.94,41.63,2.34%,1.64%,0.69%,3237809
488,KO,0.74,0.57,2.10%,0.30%,-4.13%,-11.30%,4.03%,56.81,43.12,0.28%,0.05%,0.23%,10655972
489,KORS,0.08,2.35,-6.80%,-7.46%,3.35%,-14.51%,84.12%,38.53,59.84,4.27%,3.89%,0.37%,7311174
490,KR,1.03,0.56,-0.53%,0.49%,-0.08%,-22.36%,24.02%,47.26,24.42,0.37%,0.37%,0.00%,8349246
491,KRE,,1.07,0.34%,3.07%,8.00%,-2.67%,29.47%,54.16,63.84,1.04%,0.03%,1.01%,5834345
492,KSS,1.28,2.21,8.05%,8.83%,26.02%,-1.60%,94.45%,62.12,68.37,2.43%,2.20%,0.22%,2720160
493,KWEB,,1.13,4.30%,4.70%,5.24%,-7.50%,35.75%,65.91,63.26,2.78%,2.08%,0.68%,933504
494,L,0.67,0.75,-3.05%,-2.92%,-1.04%,-8.23%,9.26%,39.12,49.18,0.63%,-0.43%,1.06%,1369369
495,LABD,,1.82,-16.45%,-24.09%,-40.74%,-76.41%,-2.29%,31.01,25.24,-3.74%,-2.62%,-1.14%,2053535
496,LAZ,1.81,1.37,-4.83%,-3.23%,3.55%,-11.87%,30.56%,37.87,51.61,0.33%,-0.69%,1.03%,705354
497,LB,0.76,1.23,1.41%,-3.10%,-21.32%,-45.21%,12.61%,48.02,34.57,1.95%,1.83%,0.12%,4326027
498,LBRDK,,1.77,-3.69%,-11.39%,-22.18%,-34.36%,0.10%,29.73,68.7,-0.25%,-0.84%,0.60%,1136273
499,LBRT,,1.08,-6.55%,1.72%,0.91%,-16.03%,25.44%,43.91,20.07,-5.60%,-6.13%,0.56%,921941
500,LBTYA,1.6,0.96,-1.17%,-4.74%,-10.00%,-25.98%,5.11%,46.88,29.41,3.16%,2.40%,0.74%,2023777
501,LBTYK,,0.94,-1.83%,-5.01%,-9.93%,-24.93%,5.10%,45.88,28.42,2.67%,2.16%,0.51%,2128287
502,LDOS,1.61,1.16,-0.41%,-4.50%,-3.38%,-13.22%,19.43%,44.2,60.84,1.30%,0.71%,0.58%,579146
503,LEG,0.91,0.78,-0.57%,-3.09%,-9.13%,-23.18%,4.75%,42.54,41.45,0.36%,-0.14%,0.51%,1188582
504,LEN,1.25,1.41,-2.23%,-7.05%,-10.48%,-28.47%,6.05%,38.2,51.62,-0.23%,-0.73%,0.50%,3820972
505,LGCY,1.97,0.81,-17.78%,-3.13%,96.08%,-46.39%,428.04%,45.24,5.65,-0.53%,-0.53%,0.00%,554977
506,LGF-A,1.1,0.79,1.52%,-4.24%,-19.29%,-34.79%,10.45%,48.6,23.79,2.68%,1.80%,0.86%,1122061
507,LHO,1.19,0.56,8.90%,15.66%,21.70%,1.54%,45.35%,81.81,35.03,2.13%,2.04%,0.09%,4040826
508,LITE,,2.48,-1.59%,0.32%,7.16%,-17.61%,46.13%,49.81,61.3,4.34%,3.03%,1.28%,1625383
509,LKQ,0.99,0.9,4.70%,-7.02%,-14.71%,-27.20%,7.87%,51.28,31.93,0.50%,-0.06%,0.57%,3543768
510,LLY,0.28,1.3,4.09%,6.28%,3.41%,-4.76%,15.14%,68.59,84.85,-0.22%,-0.41%,0.19%,4056773
511,LM,2.01,0.8,-2.86%,-3.44%,-4.82%,-20.18%,3.81%,38.48,37.62,0.94%,-0.13%,1.07%,1054801
512,LNC,1.91,1.66,-1.28%,-3.64%,-9.14%,-22.27%,6.41%,44.13,67.38,1.64%,-0.35%,2.01%,1326140
513,LNG,1.57,1.86,5.19%,12.63%,27.24%,-3.00%,63.53%,68.54,66,-0.93%,-1.55%,0.63%,3257130
514,LNT,0.3,0.62,-1.72%,-1.65%,-2.56%,-10.80%,10.29%,42.08,40.63,-1.91%,-1.62%,-0.29%,1415365
515,LOW,1.34,2.37,8.23%,10.49%,11.21%,-12.07%,35.43%,65.91,95.83,0.86%,0.41%,0.45%,4700561
516,LPI,1.13,0.55,-10.73%,-10.89%,-18.38%,-36.85%,14.71%,39.06,8.5,-8.41%,-7.51%,-0.97%,7556873
517,LPLA,1.61,1.71,1.07%,9.77%,22.29%,-4.78%,79.89%,59.4,69.78,1.47%,0.66%,0.80%,870353
518,LPT,0.79,0.66,4.54%,9.39%,7.43%,-1.04%,18.96%,76.45,44.93,1.63%,1.35%,0.27%,1393700
519,LPX,1.6,0.7,5.63%,3.11%,7.17%,-4.39%,34.20%,60.54,29.82,2.19%,1.39%,0.79%,1722222
520,LSXMK,,0.82,3.67%,9.04%,10.02%,-0.79%,20.20%,71.61,46.3,0.24%,-0.09%,0.32%,661505
521,LTRPA,1.61,0.62,27.26%,40.54%,42.46%,6.10%,98.10%,83.71,15.65,6.83%,5.74%,1.02%,910242
522,LUV,1.15,1.22,-1.83%,-5.31%,-10.81%,-23.92%,2.41%,41.03,50.96,-0.23%,-0.47%,0.23%,5482694
523,LVS,1.71,1.32,2.73%,7.82%,15.22%,-0.51%,36.02%,72.33,80.47,-0.17%,1.23%,-1.39%,4073547
524,LW,,1.01,-3.04%,0.76%,15.83%,-6.68%,50.56%,44.41,64.11,0.56%,-0.02%,0.58%,799261
525,LXRX,0.48,0.56,26.65%,38.65%,19.47%,-31.78%,60.10%,80.74,12.28,5.86%,5.32%,0.52%,1431572
526,LYV,0.98,1.05,0.10%,5.71%,1.78%,-11.28%,28.75%,56.63,43.57,2.21%,1.89%,0.30%,900489
527,M,0.76,1.21,9.93%,15.87%,40.34%,-1.22%,104.31%,67.44,35.56,1.86%,1.46%,0.40%,4880740
528,MAA,0.34,1.7,3.66%,3.94%,-3.09%,-14.78%,11.03%,63.21,94.55,1.06%,0.89%,0.17%,748467
529,MAC,0.85,1.2,-1.01%,-2.21%,-5.89%,-20.39%,6.50%,44.79,55.51,-0.22%,-0.41%,0.20%,828777
530,MAN,1.33,2.04,-3.19%,-11.93%,-22.33%,-33.36%,1.40%,33.81,91.25,1.39%,0.35%,1.03%,514399
531,MANH,1.24,0.98,-0.75%,1.61%,-2.51%,-19.76%,11.25%,50.96,43.5,-0.05%,-0.55%,0.51%,800483
532,MAS,1.49,0.87,-0.36%,-3.42%,-6.78%,-18.98%,5.14%,46.28,37.63,0.97%,0.24%,0.72%,2603067
533,MBFI,1.06,1.21,7.82%,14.03%,13.84%,-3.25%,29.71%,67.22,49.66,0.55%,-0.46%,1.01%,762844
534,MCHI,,1.01,1.44%,2.49%,3.75%,-8.93%,30.51%,57.94,69.87,1.51%,0.95%,0.55%,4120622
535,MD,0.24,1.22,-2.48%,-9.62%,-8.12%,-28.22%,11.56%,30.57,45.25,-1.31%,-1.82%,0.52%,942153
536,MDB,,1.9,9.24%,14.10%,38.26%,-1.84%,88.95%,67.19,46.52,-1.29%,-1.32%,0.02%,945087
537,MDCO,0.7,1.06,11.10%,12.31%,9.85%,-20.28%,42.78%,69.51,34.91,3.10%,2.68%,0.41%,1874966
538,MDLZ,0.91,0.65,0.94%,-1.69%,-5.64%,-16.24%,5.72%,48.17,39.56,0.74%,0.46%,0.28%,9287002
539,MDP,1.38,1.39,0.20%,-3.06%,-12.43%,-30.73%,5.48%,47.51,50.05,-0.60%,-1.38%,0.79%,593302
540,MDR,1.9,0.86,1.97%,9.18%,3.69%,-19.51%,35.69%,56.93,21.9,0.78%,0.23%,0.55%,2146423
541,MDSO,1.51,1.82,3.62%,11.41%,12.11%,-7.94%,32.72%,69.9,79.1,2.51%,1.74%,0.76%,766592
542,MDT,0.94,1.69,3.56%,7.71%,7.98%,-2.11%,14.95%,65.72,87.83,1.75%,1.13%,0.61%,5383579
543,MDXG,1.53,0.64,1.82%,6.57%,-30.66%,-56.55%,31.07%,51.82,7.93,-5.82%,-6.71%,0.95%,2452063
544,MET,1.18,1.06,-0.83%,-0.17%,-5.69%,-16.54%,7.56%,48.22,46.66,1.46%,-0.19%,1.65%,4324067
545,MGA,1.33,1.19,0.95%,6.63%,15.71%,-4.49%,49.24%,58.24,64.44,0.58%,0.03%,0.55%,1166389
546,MGM,1.4,0.87,-0.34%,-4.75%,-4.58%,-17.24%,7.65%,46.02,31.79,1.08%,1.21%,-0.13%,7222318
547,MIC,1.23,0.89,2.30%,2.46%,-32.82%,-50.96%,7.71%,58.2,38.99,0.75%,0.49%,0.26%,1737662
548,MIDD,1.72,3.25,-8.69%,-16.04%,-19.51%,-28.31%,-0.05%,24.77,99.57,-0.05%,-0.02%,-0.03%,906971
549,MIK,1.22,0.5,-0.45%,-1.67%,-12.77%,-33.01%,8.23%,46.33,18.67,1.69%,1.19%,0.49%,1199422
550,MLCO,1.57,0.86,1.49%,5.35%,19.94%,-1.94%,65.18%,58.17,32.31,-1.07%,1.89%,-2.91%,2457085
551,MMC,0.94,1.13,-0.77%,-1.57%,-2.15%,-7.06%,5.02%,44.83,80.43,0.07%,-0.81%,0.90%,1307482
552,MMP,0.72,1.23,1.93%,8.05%,4.01%,-7.53%,27.89%,71.12,70.11,0.30%,0.30%,0.00%,786999
553,MNK,1.2,0.68,12.62%,18.05%,-26.14%,-65.29%,46.35%,69.52,17.05,1.19%,0.65%,0.53%,1583428
554,MNST,1.23,1.48,2.54%,-4.36%,-12.05%,-26.65%,8.17%,50.34,51.5,0.66%,-0.12%,0.78%,2915388
555,MO,0.66,0.89,0.19%,-4.65%,-13.27%,-28.37%,3.36%,42.8,55.72,-0.04%,-0.34%,0.30%,4673993
556,MOH,1.16,2.36,0.31%,2.73%,12.43%,-9.36%,50.30%,52.03,85.18,0.29%,-0.85%,1.15%,1888440
557,MOMO,1.66,2.14,26.85%,32.34%,50.48%,6.23%,120.54%,78.66,49.6,8.01%,7.03%,0.91%,11642179
558,MOS,1.25,0.66,0.81%,5.82%,13.81%,-5.27%,43.84%,56.61,27.66,0.62%,-0.22%,0.84%,3480680
559,MPC,1.36,2.63,5.07%,7.19%,24.97%,-1.62%,66.17%,62.57,81.92,3.66%,2.68%,0.95%,6979899
560,MPLX,1.24,0.79,1.64%,5.12%,2.90%,-8.35%,16.87%,58.83,36.09,0.50%,0.47%,0.03%,1001853
561,MRK,0.78,1.07,3.17%,5.38%,3.34%,-8.81%,14.63%,64.33,60.56,1.73%,1.12%,0.60%,11011521
562,MRO,2.34,0.67,2.33%,15.10%,36.17%,-2.71%,103.98%,65.09,21.52,0.42%,0.51%,-0.09%,12891087
563,MRVL,0.98,0.68,2.75%,3.98%,6.43%,-11.95%,49.09%,57.09,22.17,2.92%,1.23%,1.67%,10517090
564,MS,1.49,1.26,-4.11%,-4.02%,-1.31%,-13.76%,22.66%,41.37,51.21,2.13%,0.55%,1.58%,9963356
565,MT,2.81,0.88,-4.12%,-1.01%,5.29%,-11.89%,68.64%,46.62,33.04,2.61%,0.61%,1.99%,4589238
566,MTCH,,1.98,8.37%,0.65%,28.13%,-12.48%,156.97%,56.73,42.58,3.48%,2.95%,0.51%,1854501
567,MTDR,1.14,1.35,-17.27%,-15.52%,-8.01%,-25.04%,31.15%,28.4,26.4,-5.95%,-5.95%,0.00%,3859049
568,MTOR,2.49,0.67,-0.67%,0.82%,-9.83%,-28.74%,38.40%,49.96,21.05,1.45%,0.38%,1.06%,656988
569,MTSI,1.71,0.97,5.36%,21.57%,-22.57%,-64.05%,53.43%,68.51,23.72,5.19%,4.13%,1.02%,1091015
570,MTZ,1.54,1.35,-0.36%,2.10%,2.84%,-13.73%,24.74%,50.6,47.9,2.68%,1.81%,0.86%,822466
571,MU,1.36,2.6,6.95%,11.62%,30.92%,-9.16%,118.77%,57.48,58.74,2.00%,-0.12%,2.12%,74525019
572,MUR,2.31,1.01,3.60%,8.73%,12.78%,-10.13%,42.28%,59.69,31.6,2.76%,2.46%,0.29%,2726427
573,MXIM,1.19,1.09,3.82%,4.36%,10.58%,-19.82%,38.38%,64.17,60.09,2.46%,1.49%,0.95%,1380389
574,MYGN,0.56,1.32,15.57%,27.09%,20.00%,-5.05%,97.25%,77.14,39.47,8.11%,6.76%,1.26%,1125740
575,MYL,1.34,1.1,1.42%,-1.34%,0.47%,-18.78%,32.15%,49.02,38.84,0.99%,0.05%,0.94%,4982226
576,NAV,2.5,1.16,2.15%,6.16%,-1.22%,-18.46%,55.31%,57.07,38.92,3.95%,0.57%,3.37%,731490
577,NBIX,0.35,2.79,8.68%,17.15%,32.00%,1.04%,135.85%,74.48,98.49,2.32%,2.08%,0.23%,529602
578,NBL,1.04,0.98,1.12%,7.67%,22.14%,-5.36%,55.10%,57.81,35.65,-0.14%,-0.11%,-0.03%,4208708
579,NCLH,1.26,1.1,1.90%,0.24%,-4.16%,-13.50%,7.39%,52.67,53.18,1.60%,1.20%,0.40%,1714228
580,NCR,1.82,0.8,0.27%,-1.92%,-9.87%,-30.32%,15.88%,47.68,30.13,0.10%,-1.08%,1.20%,841237
581,NDAQ,0.66,1.48,1.73%,4.96%,15.03%,-2.37%,36.69%,60.03,92.09,0.25%,-0.59%,0.85%,1598551
582,NEM,0.29,0.67,-2.47%,-2.85%,1.25%,-8.09%,22.98%,42.12,38.64,-0.74%,-0.64%,-0.10%,4130925
583,NFX,1.49,1.11,4.77%,10.10%,5.24%,-14.91%,31.82%,61.75,29.95,2.43%,1.87%,0.55%,3670043
584,NGG,0.45,0.84,-4.20%,-3.25%,-5.50%,-18.68%,8.05%,34.98,55.58,-0.41%,-0.73%,0.32%,647140
585,NGL,0.95,0.56,5.82%,2.52%,-4.62%,-34.28%,35.28%,58.25,11.6,8.41%,5.45%,2.80%,2169776
586,NKE,0.66,1.25,3.76%,6.70%,17.63%,-0.99%,44.51%,63.65,72.76,1.34%,0.89%,0.45%,4085554
587,NKTR,1.79,5.02,11.99%,0.63%,48.51%,-18.87%,415.99%,58.43,90.35,12.56%,13.69%,-1.00%,4322264
588,NLSN,0.96,0.61,-2.04%,-5.56%,-16.82%,-31.60%,1.08%,40.43,29.83,-1.13%,-1.32%,0.20%,2086559
589,NNN,0.3,0.66,2.50%,5.18%,1.63%,-6.36%,13.41%,62.03,41.11,-0.77%,-0.58%,-0.19%,1014996
590,NOV,0.82,1.03,1.32%,6.59%,17.12%,-7.17%,39.97%,57.67,41.85,1.04%,0.31%,0.72%,2364327
591,NRG,0.95,0.78,0.04%,6.17%,21.09%,-3.58%,112.60%,56.55,33.91,-0.93%,-0.76%,-0.18%,3552385
592,NS,1.54,0.78,13.25%,18.44%,-14.25%,-47.07%,32.19%,75.66,25.4,3.93%,3.89%,0.04%,972437
593,NTAP,1.24,1.79,0.96%,4.43%,25.36%,-4.31%,86.24%,59.57,69.71,2.03%,2.39%,-0.35%,3140448
594,NTCT,1.51,0.73,-2.49%,-1.23%,-8.42%,-30.10%,15.33%,40.54,26.7,-1.11%,-1.11%,0.00%,2328279
595,NTLA,,1.39,4.67%,12.10%,10.12%,-29.29%,123.25%,56.99,25.45,-6.09%,-7.01%,1.00%,842197
596,NTNX,,2.44,1.10%,6.18%,53.72%,-5.47%,240.87%,56.4,56.72,6.12%,5.35%,0.73%,3195749
